,MSE,Completion Method,Dataset
15,19.459146782357195,OpSpace,88 Soils
14,19.4647866955893,OpSpace,88 Soils
19,19.476355748373102,OpSpace,88 Soils
11,19.48416485900217,OpSpace,88 Soils
16,19.53882863340564,OpSpace,88 Soils
12,19.550542299349242,OpSpace,88 Soils
10,19.554302241503976,OpSpace,88 Soils
17,19.567895878524947,OpSpace,88 Soils
13,19.618510484454085,OpSpace,88 Soils
34,19.62646420824295,Soft Impute,88 Soils
18,19.632682574114245,OpSpace,88 Soils
38,19.65104844540853,Soft Impute,88 Soils
30,19.68590021691974,Soft Impute,88 Soils
35,19.700361532899493,Soft Impute,88 Soils
46,19.702024584237165,Iterative SVD,88 Soils
39,19.72711496746204,Soft Impute,88 Soils
33,19.7353579175705,Soft Impute,88 Soils
36,19.780332610267536,Soft Impute,88 Soils
31,19.782791033984093,Soft Impute,88 Soils
40,19.78705712219812,Iterative SVD,88 Soils
43,19.800939985538683,Iterative SVD,88 Soils
37,19.806941431670282,Soft Impute,88 Soils
32,19.833984092552424,Soft Impute,88 Soils
49,19.837960954446853,Iterative SVD,88 Soils
44,19.864859002169197,Iterative SVD,88 Soils
45,19.867317425885755,Iterative SVD,88 Soils
47,19.878597252349962,Iterative SVD,88 Soils
48,19.88409255242227,Iterative SVD,88 Soils
42,19.90477223427332,Iterative SVD,88 Soils
41,19.9176428054953,Iterative SVD,88 Soils
21,20.613232104121476,KNN,88 Soils
28,20.623788864786697,KNN,88 Soils
23,20.651988430947217,KNN,88 Soils
24,20.66702819956616,KNN,88 Soils
26,20.68423716558207,KNN,88 Soils
25,20.70650759219089,KNN,88 Soils
20,20.71836587129429,KNN,88 Soils
29,20.72299349240781,KNN,88 Soils
22,20.79761388286334,KNN,88 Soils
27,20.85690527838033,KNN,88 Soils
6,21.27700650759219,Psuedo,88 Soils
8,21.364931308749096,Psuedo,88 Soils
2,21.415256688358642,Psuedo,88 Soils
1,21.4530007230658,Psuedo,88 Soils
7,21.503036876355747,Psuedo,88 Soils
5,21.54295010845987,Psuedo,88 Soils
9,21.571005061460593,Psuedo,88 Soils
3,21.590672451193058,Psuedo,88 Soils
4,21.591973969631237,Psuedo,88 Soils
0,21.67700650759219,Psuedo,88 Soils
11,132.80471532613896,OpSpace,Keyboard
17,132.83860507150072,OpSpace,Keyboard
13,132.8518154271437,OpSpace,Keyboard
16,132.85218754983785,OpSpace,Keyboard
14,132.89880920737866,OpSpace,Keyboard
12,132.91438520014884,OpSpace,Keyboard
10,132.92501727712508,OpSpace,Keyboard
15,132.92919036733826,OpSpace,Keyboard
18,132.93174206581256,OpSpace,Keyboard
19,132.93447982563393,OpSpace,Keyboard
31,133.1189197809792,Soft Impute,Keyboard
36,133.12341183350168,Soft Impute,Keyboard
49,133.1420312583063,Iterative SVD,Keyboard
35,133.18481207803944,Soft Impute,Keyboard
48,133.18859975546223,Iterative SVD,Keyboard
46,133.189370581043,Iterative SVD,Keyboard
34,133.19786295252777,Soft Impute,Keyboard
40,133.19901919089895,Iterative SVD,Keyboard
45,133.19941789378555,Iterative SVD,Keyboard
32,133.20211578331828,Soft Impute,Keyboard
37,133.2175854553187,Soft Impute,Keyboard
33,133.2250544893945,Soft Impute,Keyboard
41,133.22801818085162,Iterative SVD,Keyboard
44,133.2301711764393,Iterative SVD,Keyboard
39,133.23632449098932,Soft Impute,Keyboard
38,133.26075168784223,Soft Impute,Keyboard
47,133.26251927063953,Iterative SVD,Keyboard
30,133.28217532294934,Soft Impute,Keyboard
43,133.36801605443623,Iterative SVD,Keyboard
42,133.40607889001117,Iterative SVD,Keyboard
21,134.13833661155707,KNN,Keyboard
28,134.17225293711127,KNN,Keyboard
22,134.1916564775929,KNN,Keyboard
29,134.20930572537344,KNN,Keyboard
23,134.23681622454947,KNN,Keyboard
20,134.29417627983628,KNN,Keyboard
24,134.32120833554836,KNN,Keyboard
25,134.38367178778375,KNN,Keyboard
27,134.39534049226518,KNN,Keyboard
26,134.43066556801872,KNN,Keyboard
0,134.80443623411833,Psuedo,Keyboard
2,134.80536654085375,Psuedo,Keyboard
5,134.85682579341875,Psuedo,Keyboard
3,134.92032587315933,Psuedo,Keyboard
7,134.924950826644,Psuedo,Keyboard
6,134.92625325607358,Psuedo,Keyboard
9,134.9363005688161,Psuedo,Keyboard
8,134.9679841582053,Psuedo,Keyboard
1,135.00221944606878,Psuedo,Keyboard
4,135.01776885864655,Psuedo,Keyboard
11,203807.08992722843,OpSpace,Sponge
19,203809.37338733577,OpSpace,Sponge
12,203811.47176396984,OpSpace,Sponge
15,203813.1196680826,OpSpace,Sponge
10,203816.62080410947,OpSpace,Sponge
14,203821.40220619712,OpSpace,Sponge
18,203822.99824162797,OpSpace,Sponge
13,203823.13332674766,OpSpace,Sponge
17,203824.07948895256,OpSpace,Sponge
16,203826.16340347065,OpSpace,Sponge
30,203840.3271428101,Soft Impute,Sponge
35,203845.44296486548,Soft Impute,Sponge
31,203845.47101978993,Soft Impute,Sponge
34,203831.1077019329,Soft Impute,Sponge
38,203847.17689090848,Soft Impute,Sponge
37,203847.5838321973,Soft Impute,Sponge
33,203827.56695972866,Soft Impute,Sponge
32,203824.2350225559,Soft Impute,Sponge
36,203835.85862557212,Soft Impute,Sponge
39,203840.09390496887,Soft Impute,Sponge
48,203847.575982087,Iterative SVD,Sponge
41,203826.2017254437,Iterative SVD,Sponge
42,203848.29727024268,Iterative SVD,Sponge
43,203822.04207580097,Iterative SVD,Sponge
46,203844.25954756496,Iterative SVD,Sponge
45,203850.6550166288,Iterative SVD,Sponge
40,203843.1730580526,Iterative SVD,Sponge
49,203841.9993085054,Iterative SVD,Sponge
44,203840.9336033455,Iterative SVD,Sponge
47,203818.13162764662,Iterative SVD,Sponge
22,203845.47800717838,KNN,Sponge
23,203850.86228720075,KNN,Sponge
27,203832.1643386348,KNN,Sponge
26,203828.26519147816,KNN,Sponge
29,203833.00894991602,KNN,Sponge
28,203832.51761994138,KNN,Sponge
24,203832.27053903652,KNN,Sponge
20,203836.8639204452,KNN,Sponge
25,203828.94547729593,KNN,Sponge
21,203830.2513484145,KNN,Sponge
4,203849.02217392737,Psuedo,Sponge
2,203826.05956073626,Psuedo,Sponge
5,203848.13720570318,Psuedo,Sponge
0,203834.79998682867,Psuedo,Sponge
1,203833.2307813889,Psuedo,Sponge
6,203842.1390233462,Psuedo,Sponge
9,203833.51766604104,Psuedo,Sponge
3,203834.48444137114,Psuedo,Sponge
7,203845.83018209357,Psuedo,Sponge
8,203833.0112548981,Psuedo,Sponge
