,,,Bray_Curtis,GUniFrac_Alpha_One,Robust_Aitchison
1,790,R^{2},0.5641025641025641,0.5544871794871795,0.5833333333333334
2,270,R^{2},0.5894736842105263,0.5684210526315789,0.5789473684210527
2,430,R^{2},0.5818181818181818,0.5575757575757576,0.593939393939394
2,630,R^{2},0.5719844357976653,0.5642023346303502,0.5797665369649806
2,790,R^{2},0.610062893081761,0.5408805031446541,0.5911949685534591
3,70,R^{2},0.5806451612903226,0.45161290322580644,0.7741935483870968
3,270,R^{2},0.5454545454545454,0.6198347107438017,0.6859504132231405
3,430,R^{2},0.5053191489361702,0.526595744680851,0.6436170212765957
3,630,R^{2},0.5271317829457365,0.5542635658914729,0.6317829457364341
3,790,R^{2},0.5061728395061729,0.5524691358024691,0.5833333333333334
4,270,R^{2},0.5478260869565217,0.5652173913043478,0.6
4,430,R^{2},0.5489130434782609,0.5054347826086957,0.5978260869565217
4,630,R^{2},0.5708812260536399,0.5632183908045977,0.6206896551724138
4,790,R^{2},0.5299684542586751,0.5646687697160884,0.5930599369085173
5,430,R^{2},0.5900621118012422,0.515527950310559,0.6149068322981367
5,630,R^{2},0.5614754098360656,0.5327868852459017,0.6147540983606558
5,790,R^{2},0.5786163522012578,0.5974842767295597,0.5754716981132075
6,270,R^{2},0.6041666666666666,0.6041666666666666,0.5625
6,430,R^{2},0.5058823529411764,0.5588235294117647,0.5941176470588235
6,630,R^{2},0.54296875,0.55078125,0.56640625
6,790,R^{2},0.5374592833876222,0.5472312703583062,0.5700325732899023
7,790,R^{2},0.5379939209726444,0.5835866261398176,0.6200607902735562
8,70,R^{2},0.4827586206896552,0.41379310344827586,0.6551724137931034
8,270,R^{2},0.6434782608695652,0.591304347826087,0.6086956521739131
8,430,R^{2},0.5988372093023255,0.5290697674418605,0.5348837209302325
8,630,R^{2},0.5793650793650794,0.5753968253968254,0.5873015873015873
8,790,R^{2},0.5873015873015873,0.5333333333333333,0.5968253968253968
9,790,R^{2},0.5876923076923077,0.5384615384615384,0.5815384615384616
